harga,luas_bangunan,luas_tanah,kamar_tidur,kamar_mandi,garasi,kota
2990000000.0,272.0,239.0,4.0,4.0,0.0,Bekasi
1270000000.0,69.0,55.0,3.0,2.0,0.0,Bekasi
1950000000.0,131.0,119.0,3.0,3.0,1.0,Bekasi
3300000000.0,174.0,180.0,3.0,3.0,2.0,Bekasi
2700000000.0,200.0,136.0,3.0,3.0,1.0,Bekasi
2350000000.0,144.0,144.0,2.0,2.0,1.0,Bekasi
4500000000.0,250.0,216.0,4.0,4.0,1.0,Bekasi
2900000000.0,152.0,200.0,3.0,3.0,0.0,Bekasi
2700000000.0,200.0,136.0,3.0,3.0,1.0,Bekasi
2550000000.0,186.0,144.0,3.0,2.0,0.0,Bekasi
952000000.0,50.0,55.0,2.0,2.0,0.0,Bekasi
1800000000.0,82.0,119.0,2.0,1.0,1.0,Bekasi
2350000000.0,149.0,144.0,3.0,3.0,1.0,Bekasi
2500000000.0,200.0,144.0,3.0,3.0,1.0,Bekasi
2700000000.0,136.0,193.0,3.0,3.0,1.0,Bekasi
952000000.0,50.0,55.0,2.0,2.0,0.0,Bekasi
2250000000.0,150.0,119.0,4.0,3.0,0.0,Bekasi
2250000000.0,150.0,119.0,3.0,2.0,1.0,Bekasi
2450000000.0,150.0,144.0,3.0,3.0,0.0,Bekasi
125000000.0,110.0,110.0,3.0,1.0,0.0,Bekasi
1980000000.0,98.0,119.0,2.0,2.0,1.0,Bekasi
764000000.0,83.0,78.0,3.0,3.0,0.0,Bekasi
2000000000.0,155.0,164.0,3.0,2.0,0.0,Bekasi
764000000.0,83.0,78.0,3.0,3.0,0.0,Bekasi
2350000000.0,140.0,119.0,3.0,2.0,0.0,Bekasi
2550000000.0,186.0,144.0,3.0,2.0,1.0,Bekasi
480000000.0,30.0,55.0,2.0,1.0,0.0,Bekasi
1900000000.0,120.0,91.0,2.0,3.0,0.0,Bekasi
300000000.0,36.0,60.0,2.0,1.0,0.0,Bekasi
5270000000.0,307.0,192.0,4.0,3.0,0.0,Bekasi
2800000000.0,200.0,150.0,4.0,3.0,2.0,Bekasi
2710000000.0,149.0,135.0,4.0,4.0,0.0,Bekasi
500000000.0,42.0,72.0,3.0,1.0,0.0,Bekasi
439000000.0,37.0,60.0,3.0,1.0,0.0,Bekasi
800000000.0,82.0,92.0,3.0,2.0,2.0,Bekasi
850000000.0,125.0,200.0,3.0,2.0,1.0,Bekasi
700000000.0,146.0,90.0,3.0,2.0,1.0,Bekasi
1300000000.0,105.0,84.0,4.0,4.0,1.0,Bekasi
1200000000.0,90.0,120.0,3.0,2.0,0.0,Bekasi
2650000000.0,296.0,160.0,5.0,4.0,0.0,Bekasi
1300000000.0,105.0,84.0,4.0,4.0,1.0,Bekasi
1300000000.0,105.0,84.0,4.0,4.0,1.0,Bekasi
1300000000.0,105.0,84.0,4.0,3.0,0.0,Bekasi
425000000.0,65.0,90.0,2.0,1.0,0.0,Bekasi
280000000.0,40.0,70.0,2.0,1.0,1.0,Bekasi
999000000.0,190.0,127.0,6.0,2.0,1.0,Bekasi
1500000000.0,136.0,100.0,3.0,2.0,1.0,Bekasi
168000000.0,19.0,60.0,2.0,1.0,1.0,Bekasi
870000000.0,80.0,90.0,3.0,1.0,0.0,Bekasi
495000000.0,45.0,86.0,2.0,1.0,1.0,Bekasi
275000000.0,36.0,60.0,2.0,1.0,1.0,Bekasi
300000000.0,70.0,70.0,2.0,2.0,1.0,Bekasi
1440000000.0,60.0,55.0,2.0,2.0,0.0,Bekasi
764000000.0,83.0,78.0,3.0,3.0,0.0,Bekasi
1200000000.0,90.0,120.0,3.0,2.0,0.0,Bekasi
764000000.0,83.0,78.0,3.0,3.0,0.0,Bekasi
495000000.0,45.0,86.0,2.0,1.0,1.0,Bekasi
